DHB,year,sex,cancer,incidence_num,incidence_rate
Lakes,2017,Male,Prostate,62,70.8
MidCentral,2017,Male,Prostate,199,127.6
Nelson Marlborough,2017,Male,Prostate,181,115.1
Northland,2017,Male,Prostate,176,96.8
South Canterbury,2017,Male,Prostate,58,85.7
Southern,2017,Male,Prostate,342,119.9
Tairawhiti,2017,Male,Prostate,35,93.1
Taranaki,2017,Male,Prostate,89,82.6
Waikato,2017,Male,Prostate,331,101.7
Wairarapa,2017,Male,Prostate,83,180.1
Waitemata,2017,Male,Prostate,421,100
West Coast,2017,Male,Prostate,24,67.9
Whanganui,2017,Male,Prostate,82,137.1
All New Zealand,2017,Male,Testis,170,7.4
Auckland,2017,Male,Testis,13,4.7
Bay of Plenty,2017,Male,Testis,4,0
Canterbury,2017,Male,Testis,29,10.3
Capital & Coast,2017,Male,Testis,9,6
Counties Manukau,2017,Male,Testis,22,8.4
Hawke's Bay,2017,Male,Testis,12,18.8
Hutt Valley,2017,Male,Testis,8,11
Lakes,2017,Male,Testis,4,0
MidCentral,2017,Male,Testis,8,9.3
Nelson Marlborough,2017,Male,Testis,7,13.3
Northland,2017,Male,Testis,4,0
South Canterbury,2017,Male,Testis,1,0
Southern,2017,Male,Testis,11,6.8
Taranaki,2017,Male,Testis,8,14.2
Waikato,2017,Male,Testis,11,5.8
Waitemata,2017,Male,Testis,15,5
West Coast,2017,Male,Testis,1,0
Whanganui,2017,Male,Testis,1,0
All New Zealand,2018,Male,Bladder,343,8.4
Auckland,2018,Male,Bladder,30,9.4
Bay of Plenty,2018,Male,Bladder,29,10.9
Canterbury,2018,Male,Bladder,30,6.1
Capital & Coast,2018,Male,Bladder,36,15.7
Counties Manukau,2018,Male,Bladder,22,6.3
Hawke's Bay,2018,Male,Bladder,11,6.3
Hutt Valley,2018,Male,Bladder,15,12.1
Lakes,2018,Male,Bladder,5,0
MidCentral,2018,Male,Bladder,15,9.3
Nelson Marlborough,2018,Male,Bladder,9,6.3
Northland,2018,Male,Bladder,23,11.6
South Canterbury,2018,Male,Bladder,6,8.8
Southern,2018,Male,Bladder,25,7.9
Tairawhiti,2018,Male,Bladder,9,21
Taranaki,2018,Male,Bladder,10,8.8
Waikato,2018,Male,Bladder,29,8.2
Wairarapa,2018,Male,Bladder,3,0
Waitemata,2018,Male,Bladder,28,6.2
West Coast,2018,Male,Bladder,4,0
Whanganui,2018,Male,Bladder,4,0
All New Zealand,2018,Male,Colorectal,1718,46.1
Auckland,2018,Male,Colorectal,130,42.6
Bay of Plenty,2018,Male,Colorectal,108,43.9
Canterbury,2018,Male,Colorectal,172,39.3
Capital & Coast,2018,Male,Colorectal,90,44.2
Counties Manukau,2018,Male,Colorectal,144,42.8
Hawke's Bay,2018,Male,Colorectal,70,47.3
Hutt Valley,2018,Male,Colorectal,65,58.6
Lakes,2018,Male,Colorectal,39,46.4
MidCentral,2018,Male,Colorectal,93,61.2
Nelson Marlborough,2018,Male,Colorectal,71,44.7
Northland,2018,Male,Colorectal,82,45.3
South Canterbury,2018,Male,Colorectal,40,66.7
Southern,2018,Male,Colorectal,180,64.1
Tairawhiti,2018,Male,Colorectal,8,19.4
Taranaki,2018,Male,Colorectal,55,53.3
Waikato,2018,Male,Colorectal,142,42.5
Wairarapa,2018,Male,Colorectal,24,53.2
Waitemata,2018,Male,Colorectal,147,34.9
West Coast,2018,Male,Colorectal,22,63
Whanganui,2018,Male,Colorectal,35,60.3
All New Zealand,2018,Male,Kidney,387,10.8
Auckland,2018,Male,Kidney,31,10.3
Bay of Plenty,2018,Male,Kidney,24,11.7
Canterbury,2018,Male,Kidney,44,12
Capital & Coast,2018,Male,Kidney,15,7.1
Counties Manukau,2018,Male,Kidney,25,7.3
Hawke's Bay,2018,Male,Kidney,13,9.3
Hutt Valley,2018,Male,Kidney,9,8.5
Lakes,2018,Male,Kidney,10,10.4
MidCentral,2018,Male,Kidney,12,8.5
Nelson Marlborough,2018,Male,Kidney,18,13.3
Northland,2018,Male,Kidney,15,8
South Canterbury,2018,Male,Kidney,10,17.7
Southern,2018,Male,Kidney,34,12.4
Tairawhiti,2018,Male,Kidney,5,0
Taranaki,2018,Male,Kidney,13,11.8
Waikato,2018,Male,Kidney,41,13.2
Wairarapa,2018,Male,Kidney,6,17.5
Waitemata,2018,Male,Kidney,51,12.2
West Coast,2018,Male,Kidney,4,0
Whanganui,2018,Male,Kidney,7,11.3
All New Zealand,2018,Male,Leukaemia,503,14.5
Auckland,2018,Male,Leukaemia,28,9.7
Bay of Plenty,2018,Male,Leukaemia,34,16.6
Canterbury,2018,Male,Leukaemia,66,17.4
Capital & Coast,2018,Male,Leukaemia,36,18.3
Counties Manukau,2018,Male,Leukaemia,39,11.6
Hawke's Bay,2018,Male,Leukaemia,20,12.6
Hutt Valley,2018,Male,Leukaemia,15,13.6
Lakes,2018,Male,Leukaemia,14,20.1
MidCentral,2018,Male,Leukaemia,18,13.2
Nelson Marlborough,2018,Male,Leukaemia,17,10.9
Northland,2018,Male,Leukaemia,23,13.3
South Canterbury,2018,Male,Leukaemia,9,11.9
Southern,2018,Male,Leukaemia,28,11.5
Tairawhiti,2018,Male,Leukaemia,4,0
Taranaki,2018,Male,Leukaemia,17,16.7
Waikato,2018,Male,Leukaemia,55,17.5
Wairarapa,2018,Male,Leukaemia,8,14.2
Waitemata,2018,Male,Leukaemia,52,13.3
West Coast,2018,Male,Leukaemia,7,32.7
Whanganui,2018,Male,Leukaemia,10,21.4
All New Zealand,2018,Male,Lung,1231,31.4
Auckland,2018,Male,Lung,66,21.3
Bay of Plenty,2018,Male,Lung,68,28.9
Canterbury,2018,Male,Lung,138,30.4
Capital & Coast,2018,Male,Lung,63,29.1
Counties Manukau,2018,Male,Lung,135,38.7
Hawke's Bay,2018,Male,Lung,59,38.4
Hutt Valley,2018,Male,Lung,33,28.5
Lakes,2018,Male,Lung,14,14.7
MidCentral,2018,Male,Lung,71,44.8
Nelson Marlborough,2018,Male,Lung,47,28.5
Northland,2018,Male,Lung,73,40.7
South Canterbury,2018,Male,Lung,18,25.4
Southern,2018,Male,Lung,80,26.1
Tairawhiti,2018,Male,Lung,14,39.7
Taranaki,2018,Male,Lung,42,37.8
Waikato,2018,Male,Lung,123,35.3
Wairarapa,2018,Male,Lung,17,30.8
Waitemata,2018,Male,Lung,122,27.3
West Coast,2018,Male,Lung,13,36.5
Whanganui,2018,Male,Lung,30,43.6
All New Zealand,2018,Male,Melanoma,1541,42.2
Auckland,2018,Male,Melanoma,151,50.1
Bay of Plenty,2018,Male,Melanoma,97,41.9
Canterbury,2018,Male,Melanoma,180,41.6
Capital & Coast,2018,Male,Melanoma,86,41
Counties Manukau,2018,Male,Melanoma,109,31.6
Hawke's Bay,2018,Male,Melanoma,65,48.5
Hutt Valley,2018,Male,Melanoma,32,28.9
Lakes,2018,Male,Melanoma,34,38.3
MidCentral,2018,Male,Melanoma,48,32
Nelson Marlborough,2018,Male,Melanoma,68,47.9
Northland,2018,Male,Melanoma,58,34.2
South Canterbury,2018,Male,Melanoma,18,29.1
Southern,2018,Male,Melanoma,106,40.9
Tairawhiti,2018,Male,Melanoma,11,29.3
Taranaki,2018,Male,Melanoma,63,73.6
Waikato,2018,Male,Melanoma,123,38.4
Wairarapa,2018,Male,Melanoma,19,43
Waitemata,2018,Male,Melanoma,244,57.1
West Coast,2018,Male,Melanoma,7,19
Whanganui,2018,Male,Melanoma,22,39.5
All New Zealand,2018,Male,Non-Hodgkin lymphoma,534,15.1
Auckland,2018,Male,Non-Hodgkin lymphoma,30,10.3
Bay of Plenty,2018,Male,Non-Hodgkin lymphoma,32,14.9
Canterbury,2018,Male,Non-Hodgkin lymphoma,65,16.1
Capital & Coast,2018,Male,Non-Hodgkin lymphoma,36,17.4
Counties Manukau,2018,Male,Non-Hodgkin lymphoma,50,14.9
Hawke's Bay,2018,Male,Non-Hodgkin lymphoma,26,18
Hutt Valley,2018,Male,Non-Hodgkin lymphoma,16,14.5
Lakes,2018,Male,Non-Hodgkin lymphoma,8,8.1
MidCentral,2018,Male,Non-Hodgkin lymphoma,21,17
Nelson Marlborough,2018,Male,Non-Hodgkin lymphoma,28,17.6
Northland,2018,Male,Non-Hodgkin lymphoma,21,12.9
South Canterbury,2018,Male,Non-Hodgkin lymphoma,7,13.4
Southern,2018,Male,Non-Hodgkin lymphoma,40,16.1
Tairawhiti,2018,Male,Non-Hodgkin lymphoma,2,0
Taranaki,2018,Male,Non-Hodgkin lymphoma,8,8.1
Waikato,2018,Male,Non-Hodgkin lymphoma,55,18.1
Wairarapa,2018,Male,Non-Hodgkin lymphoma,5,0
Waitemata,2018,Male,Non-Hodgkin lymphoma,65,15.8
West Coast,2018,Male,Non-Hodgkin lymphoma,7,19.5
Whanganui,2018,Male,Non-Hodgkin lymphoma,11,17.4
All New Zealand,2018,Male,Pancreas,332,8.7
Auckland,2018,Male,Pancreas,32,10.4
Bay of Plenty,2018,Male,Pancreas,23,10.3
Canterbury,2018,Male,Pancreas,40,9
Capital & Coast,2018,Male,Pancreas,18,8.1
Counties Manukau,2018,Male,Pancreas,31,9
Hawke's Bay,2018,Male,Pancreas,10,7.2
Hutt Valley,2018,Male,Pancreas,14,12.4
Lakes,2018,Male,Pancreas,6,6
MidCentral,2018,Male,Pancreas,11,7.2
Nelson Marlborough,2018,Male,Pancreas,11,7.7
Northland,2018,Male,Pancreas,22,12.5
South Canterbury,2018,Male,Pancreas,4,0
Southern,2018,Male,Pancreas,20,6.5
Tairawhiti,2018,Male,Pancreas,1,0
Taranaki,2018,Male,Pancreas,11,9.7
Waikato,2018,Male,Pancreas,25,6.9
Wairarapa,2018,Male,Pancreas,1,0
Waitemata,2018,Male,Pancreas,42,10
West Coast,2018,Male,Pancreas,5,0
Whanganui,2018,Male,Pancreas,5,0
All New Zealand,2018,Male,Prostate,4215,110.4
Auckland,2018,Male,Prostate,322,105
Bay of Plenty,2018,Male,Prostate,258,112.2
Canterbury,2018,Male,Prostate,455,103.9
Capital & Coast,2018,Male,Prostate,225,105
Counties Manukau,2018,Male,Prostate,299,85.6
Hawke's Bay,2018,Male,Prostate,147,95.8
Hutt Valley,2018,Male,Prostate,128,113.6
Lakes,2018,Male,Prostate,85,91.8
MidCentral,2018,Male,Prostate,216,139.4
Nelson Marlborough,2018,Male,Prostate,192,119
Northland,2018,Male,Prostate,232,123.8
South Canterbury,2018,Male,Prostate,74,118.7
Southern,2018,Male,Prostate,365,128.4
Tairawhiti,2018,Male,Prostate,37,91.5
Taranaki,2018,Male,Prostate,96,90.1
Waikato,2018,Male,Prostate,456,135.4
Wairarapa,2018,Male,Prostate,54,108.1
Waitemata,2018,Male,Prostate,445,103.1
West Coast,2018,Male,Prostate,37,102.5
Whanganui,2018,Male,Prostate,90,143.9
All New Zealand,2018,Male,Testis,173,7.1
Auckland,2018,Male,Testis,15,5.6
Bay of Plenty,2018,Male,Testis,8,6.2
Canterbury,2018,Male,Testis,17,5.4
Capital & Coast,2018,Male,Testis,6,3.8
Counties Manukau,2018,Male,Testis,19,6.5
Hawke's Bay,2018,Male,Testis,10,12.6
Hutt Valley,2018,Male,Testis,8,10.6
Lakes,2018,Male,Testis,4,0
MidCentral,2018,Male,Testis,8,9.6
Nelson Marlborough,2018,Male,Testis,12,18.2
Northland,2018,Male,Testis,11,15.4
South Canterbury,2018,Male,Testis,2,0
Southern,2018,Male,Testis,5,0
Tairawhiti,2018,Male,Testis,1,0
Taranaki,2018,Male,Testis,2,0
Waikato,2018,Male,Testis,20,10.7
Wairarapa,2018,Male,Testis,1,0
Waitemata,2018,Male,Testis,21,7.1
West Coast,2018,Male,Testis,1,0
Whanganui,2018,Male,Testis,2,0
All New Zealand,2019,Male,Bladder,347,8.3
Auckland,2019,Male,Bladder,28,8.8
Bay of Plenty,2019,Male,Bladder,24,9.3
Canterbury,2019,Male,Bladder,32,6.6
Capital & Coast,2019,Male,Bladder,16,7
Counties Manukau,2019,Male,Bladder,39,10.9
Hawke's Bay,2019,Male,Bladder,19,11.1
Hutt Valley,2019,Male,Bladder,7,5.2
Lakes,2019,Male,Bladder,6,5.9
MidCentral,2019,Male,Bladder,14,7.5
Nelson Marlborough,2019,Male,Bladder,9,4.9
Northland,2019,Male,Bladder,29,13.7
South Canterbury,2019,Male,Bladder,2,0
Southern,2019,Male,Bladder,22,6.8
Tairawhiti,2019,Male,Bladder,2,0
Taranaki,2019,Male,Bladder,9,8.4
Waikato,2019,Male,Bladder,25,6.2
Wairarapa,2019,Male,Bladder,8,15
Waitemata,2019,Male,Bladder,46,9.7
West Coast,2019,Male,Bladder,3,0
Whanganui,2019,Male,Bladder,7,9
All New Zealand,2019,Male,Colorectal,1734,44.5
Auckland,2019,Male,Colorectal,100,32.3
Bay of Plenty,2019,Male,Colorectal,79,33.4
Canterbury,2019,Male,Colorectal,201,45.1
Capital & Coast,2019,Male,Colorectal,80,36.6
Counties Manukau,2019,Male,Colorectal,167,46.7
Hawke's Bay,2019,Male,Colorectal,92,60
Hutt Valley,2019,Male,Colorectal,52,45.1
Lakes,2019,Male,Colorectal,45,50.4
MidCentral,2019,Male,Colorectal,85,49.6
Nelson Marlborough,2019,Male,Colorectal,85,52.4
Northland,2019,Male,Colorectal,72,38.8
South Canterbury,2019,Male,Colorectal,37,59.3
Southern,2019,Male,Colorectal,205,70.2
Tairawhiti,2019,Male,Colorectal,13,34.1
Taranaki,2019,Male,Colorectal,39,33.9
Waikato,2019,Male,Colorectal,143,40.2
Wairarapa,2019,Male,Colorectal,28,64.1
Waitemata,2019,Male,Colorectal,154,34.8
West Coast,2019,Male,Colorectal,18,58.9
Whanganui,2019,Male,Colorectal,34,50.9
All New Zealand,2019,Male,Kidney,383,10.6
Auckland,2019,Male,Kidney,34,11.1
Bay of Plenty,2019,Male,Kidney,23,10.9
Canterbury,2019,Male,Kidney,53,12.8
Capital & Coast,2019,Male,Kidney,15,6.9
Counties Manukau,2019,Male,Kidney,48,13.8
Hawke's Bay,2019,Male,Kidney,14,10.5
Hutt Valley,2019,Male,Kidney,12,12.2
Lakes,2019,Male,Kidney,10,11.4
MidCentral,2019,Male,Kidney,16,10.8
Nelson Marlborough,2019,Male,Kidney,19,12.3
Northland,2019,Male,Kidney,16,9.3
South Canterbury,2019,Male,Kidney,4,0
Southern,2019,Male,Kidney,32,11.3
Tairawhiti,2019,Male,Kidney,1,0
Taranaki,2019,Male,Kidney,10,10.2
Waikato,2019,Male,Kidney,24,7.4
Wairarapa,2019,Male,Kidney,3,0
Waitemata,2019,Male,Kidney,35,8.3
West Coast,2019,Male,Kidney,4,0
Whanganui,2019,Male,Kidney,10,18.2
All New Zealand,2019,Male,Leukaemia,467,12.9
Auckland,2019,Male,Leukaemia,31,10.7
Bay of Plenty,2019,Male,Leukaemia,23,10
Canterbury,2019,Male,Leukaemia,68,17.9
Capital & Coast,2019,Male,Leukaemia,45,23.4
Counties Manukau,2019,Male,Leukaemia,35,10.1
Hawke's Bay,2019,Male,Leukaemia,15,10.6
Hutt Valley,2019,Male,Leukaemia,11,9.4
Lakes,2019,Male,Leukaemia,14,17
MidCentral,2019,Male,Leukaemia,13,8.4
Nelson Marlborough,2019,Male,Leukaemia,16,10.5
Northland,2019,Male,Leukaemia,23,12.6
South Canterbury,2019,Male,Leukaemia,9,17
Southern,2019,Male,Leukaemia,41,13.5
Tairawhiti,2019,Male,Leukaemia,2,0
Taranaki,2019,Male,Leukaemia,8,6.8
Waikato,2019,Male,Leukaemia,44,13.3
Wairarapa,2019,Male,Leukaemia,7,17.4
Waitemata,2019,Male,Leukaemia,45,10.1
West Coast,2019,Male,Leukaemia,6,27.2
Whanganui,2019,Male,Leukaemia,8,13.5
All New Zealand,2019,Male,Lung,1166,28.7
Auckland,2019,Male,Lung,84,26.2
Bay of Plenty,2019,Male,Lung,87,34.3
Canterbury,2019,Male,Lung,111,22.6
Capital & Coast,2019,Male,Lung,50,22
Counties Manukau,2019,Male,Lung,131,36.4
Hawke's Bay,2019,Male,Lung,46,30.3
Hutt Valley,2019,Male,Lung,34,29.8
Lakes,2019,Male,Lung,32,34.3
MidCentral,2019,Male,Lung,49,29.3
Nelson Marlborough,2019,Male,Lung,39,22.2
Northland,2019,Male,Lung,67,33.6
South Canterbury,2019,Male,Lung,29,38.3
Southern,2019,Male,Lung,89,29.3
Tairawhiti,2019,Male,Lung,14,38.4
Taranaki,2019,Male,Lung,36,31.8
Waikato,2019,Male,Lung,102,28.6
Wairarapa,2019,Male,Lung,15,30.1
Waitemata,2019,Male,Lung,106,22.8
West Coast,2019,Male,Lung,12,29.8
Whanganui,2019,Male,Lung,27,38.4
All New Zealand,2019,Male,Melanoma,1482,39.3
Auckland,2019,Male,Melanoma,134,42.9
Bay of Plenty,2019,Male,Melanoma,98,41.9
Canterbury,2019,Male,Melanoma,187,43.4
Capital & Coast,2019,Male,Melanoma,70,32.5
Counties Manukau,2019,Male,Melanoma,109,30.9
Hawke's Bay,2019,Male,Melanoma,36,23.1
Hutt Valley,2019,Male,Melanoma,31,27.8
Lakes,2019,Male,Melanoma,33,37.4
MidCentral,2019,Male,Melanoma,51,30.7
Nelson Marlborough,2019,Male,Melanoma,58,39.7
Northland,2019,Male,Melanoma,63,33.1
South Canterbury,2019,Male,Melanoma,18,28.3
Southern,2019,Male,Melanoma,112,42.2
Tairawhiti,2019,Male,Melanoma,14,37.3
Taranaki,2019,Male,Melanoma,65,67.1
Waikato,2019,Male,Melanoma,125,37.6
Wairarapa,2019,Male,Melanoma,22,56.4
Waitemata,2019,Male,Melanoma,226,51.8
West Coast,2019,Male,Melanoma,13,36.2
Whanganui,2019,Male,Melanoma,17,23.6
All New Zealand,2019,Male,Non-Hodgkin lymphoma,593,16.1
Auckland,2019,Male,Non-Hodgkin lymphoma,55,17.7
Bay of Plenty,2019,Male,Non-Hodgkin lymphoma,27,12.3
Canterbury,2019,Male,Non-Hodgkin lymphoma,71,16.7
Capital & Coast,2019,Male,Non-Hodgkin lymphoma,29,13.8
Counties Manukau,2019,Male,Non-Hodgkin lymphoma,52,15.2
Hawke's Bay,2019,Male,Non-Hodgkin lymphoma,23,17
Hutt Valley,2019,Male,Non-Hodgkin lymphoma,24,22.3
Lakes,2019,Male,Non-Hodgkin lymphoma,17,17.7
MidCentral,2019,Male,Non-Hodgkin lymphoma,28,19.5
Nelson Marlborough,2019,Male,Non-Hodgkin lymphoma,17,10.6
Northland,2019,Male,Non-Hodgkin lymphoma,28,14.6
South Canterbury,2019,Male,Non-Hodgkin lymphoma,9,12.4
Southern,2019,Male,Non-Hodgkin lymphoma,57,20.3
Tairawhiti,2019,Male,Non-Hodgkin lymphoma,4,0
Taranaki,2019,Male,Non-Hodgkin lymphoma,16,15.8
Waikato,2019,Male,Non-Hodgkin lymphoma,52,16.3
Wairarapa,2019,Male,Non-Hodgkin lymphoma,6,13.8
Waitemata,2019,Male,Non-Hodgkin lymphoma,61,14.7
West Coast,2019,Male,Non-Hodgkin lymphoma,8,32.4
Whanganui,2019,Male,Non-Hodgkin lymphoma,8,16.5
All New Zealand,2019,Male,Pancreas,380,9.6
Auckland,2019,Male,Pancreas,34,10.4
Bay of Plenty,2019,Male,Pancreas,18,6.8
Canterbury,2019,Male,Pancreas,42,9.3
Capital & Coast,2019,Male,Pancreas,22,10.1
Counties Manukau,2019,Male,Pancreas,41,11.7
Hawke's Bay,2019,Male,Pancreas,18,10.5
Hutt Valley,2019,Male,Pancreas,13,11.2
Lakes,2019,Male,Pancreas,7,7.6
MidCentral,2019,Male,Pancreas,18,11
Nelson Marlborough,2019,Male,Pancreas,22,13.4
Northland,2019,Male,Pancreas,18,9.7
South Canterbury,2019,Male,Pancreas,2,0
Southern,2019,Male,Pancreas,36,13.1
Tairawhiti,2019,Male,Pancreas,5,0
Taranaki,2019,Male,Pancreas,7,6.7
Waikato,2019,Male,Pancreas,23,6.2
Wairarapa,2019,Male,Pancreas,3,0
Waitemata,2019,Male,Pancreas,45,9.9
West Coast,2019,Male,Pancreas,3,0
Whanganui,2019,Male,Pancreas,2,0
All New Zealand,2019,Male,Prostate,4239,107.6
Auckland,2019,Male,Prostate,304,96.5
Bay of Plenty,2019,Male,Prostate,261,110.4
Canterbury,2019,Male,Prostate,482,107
Capital & Coast,2019,Male,Prostate,237,108.8
Counties Manukau,2019,Male,Prostate,359,99.3
Hawke's Bay,2019,Male,Prostate,139,86.6
Hutt Valley,2019,Male,Prostate,91,78
Lakes,2019,Male,Prostate,98,104
MidCentral,2019,Male,Prostate,195,119
Nelson Marlborough,2019,Male,Prostate,200,120
Northland,2019,Male,Prostate,209,105.6
South Canterbury,2019,Male,Prostate,76,119.3
Southern,2019,Male,Prostate,392,133
Tairawhiti,2019,Male,Prostate,36,83.6
Taranaki,2019,Male,Prostate,104,96.6
Waikato,2019,Male,Prostate,373,106.9
Wairarapa,2019,Male,Prostate,43,85.4
Waitemata,2019,Male,Prostate,524,118.3
West Coast,2019,Male,Prostate,36,99.1
Whanganui,2019,Male,Prostate,77,122
All New Zealand,2019,Male,Testis,177,7.3
Auckland,2019,Male,Testis,15,5
Bay of Plenty,2019,Male,Testis,6,6.3
Canterbury,2019,Male,Testis,23,7.8
Capital & Coast,2019,Male,Testis,9,5.8
Counties Manukau,2019,Male,Testis,22,7.6
Hawke's Bay,2019,Male,Testis,10,13.3
Hutt Valley,2019,Male,Testis,5,0
Lakes,2019,Male,Testis,5,0
MidCentral,2019,Male,Testis,8,10.3
Nelson Marlborough,2019,Male,Testis,7,9.3
Northland,2019,Male,Testis,4,0
Southern,2019,Male,Testis,12,7
Taranaki,2019,Male,Testis,4,0
Waikato,2019,Male,Testis,22,10.2
Wairarapa,2019,Male,Testis,1,0
Waitemata,2019,Male,Testis,22,7.5
Whanganui,2019,Male,Testis,2,0
All New Zealand,2020,Male,Bladder,362,8.3
Auckland,2020,Male,Bladder,14,4.2
Bay of Plenty,2020,Male,Bladder,21,6.4
Canterbury,2020,Male,Bladder,49,10.3
Capital & Coast,2020,Male,Bladder,17,6.8
Counties Manukau,2020,Male,Bladder,27,7.2
Hawke's Bay,2020,Male,Bladder,16,10.3
Hutt Valley,2020,Male,Bladder,14,11
Lakes,2020,Male,Bladder,8,7.3
MidCentral,2020,Male,Bladder,21,11
Nelson Marlborough,2020,Male,Bladder,13,6.5
Northland,2020,Male,Bladder,29,14.4
South Canterbury,2020,Male,Bladder,7,8.7
Southern,2020,Male,Bladder,21,6.4
Tairawhiti,2020,Male,Bladder,1,0
Taranaki,2020,Male,Bladder,22,17
Waikato,2020,Male,Bladder,34,8.8
Wairarapa,2020,Male,Bladder,1,0
Waitemata,2020,Male,Bladder,32,6.5
West Coast,2020,Male,Bladder,4,0
Whanganui,2020,Male,Bladder,11,16.7
All New Zealand,2020,Male,Colorectal,1842,46.3
Auckland,2020,Male,Colorectal,123,37.5
Bay of Plenty,2020,Male,Colorectal,92,38.4
Canterbury,2020,Male,Colorectal,197,44.4
Capital & Coast,2020,Male,Colorectal,73,33.5
Counties Manukau,2020,Male,Colorectal,165,44.7
Hawke's Bay,2020,Male,Colorectal,74,46.8
Hutt Valley,2020,Male,Colorectal,60,51
Lakes,2020,Male,Colorectal,54,54.2
MidCentral,2020,Male,Colorectal,92,54.4
Nelson Marlborough,2020,Male,Colorectal,68,39.4
Northland,2020,Male,Colorectal,81,41.5
South Canterbury,2020,Male,Colorectal,32,53.2
Southern,2020,Male,Colorectal,189,61.2
Tairawhiti,2020,Male,Colorectal,25,67.1
Taranaki,2020,Male,Colorectal,65,62
Waikato,2020,Male,Colorectal,210,61.3
Wairarapa,2020,Male,Colorectal,21,39.8
Waitemata,2020,Male,Colorectal,160,35
West Coast,2020,Male,Colorectal,22,60.4
Whanganui,2020,Male,Colorectal,36,59
All New Zealand,2020,Male,Kidney,459,12.2
Auckland,2020,Male,Kidney,35,11.9
Bay of Plenty,2020,Male,Kidney,25,11.7
Canterbury,2020,Male,Kidney,57,13.3
Capital & Coast,2020,Male,Kidney,30,14
Counties Manukau,2020,Male,Kidney,50,13.6
Hawke's Bay,2020,Male,Kidney,13,9.7
Hutt Valley,2020,Male,Kidney,11,9.3
Lakes,2020,Male,Kidney,10,10.5
MidCentral,2020,Male,Kidney,21,15.3
Nelson Marlborough,2020,Male,Kidney,16,10.1
Northland,2020,Male,Kidney,19,8.9
South Canterbury,2020,Male,Kidney,10,21.2
Southern,2020,Male,Kidney,32,11.2
Tairawhiti,2020,Male,Kidney,4,0
Taranaki,2020,Male,Kidney,23,22.3
Waikato,2020,Male,Kidney,39,11.1
Wairarapa,2020,Male,Kidney,3,0
Waitemata,2020,Male,Kidney,49,11.1
West Coast,2020,Male,Kidney,2,0
Whanganui,2020,Male,Kidney,7,9.2
All New Zealand,2020,Male,Leukaemia,472,13.3
Auckland,2020,Male,Leukaemia,28,9.6
Bay of Plenty,2020,Male,Leukaemia,32,18.7
Canterbury,2020,Male,Leukaemia,64,14.3
Capital & Coast,2020,Male,Leukaemia,24,11.2
Counties Manukau,2020,Male,Leukaemia,40,12
Hawke's Bay,2020,Male,Leukaemia,22,15.6
Hutt Valley,2020,Male,Leukaemia,13,12.5
Lakes,2020,Male,Leukaemia,11,11.4
MidCentral,2020,Male,Leukaemia,20,13.4
Nelson Marlborough,2020,Male,Leukaemia,23,14.1
Northland,2020,Male,Leukaemia,28,16.8
South Canterbury,2020,Male,Leukaemia,5,0
Southern,2020,Male,Leukaemia,38,14.3
Tairawhiti,2020,Male,Leukaemia,2,0
Taranaki,2020,Male,Leukaemia,10,9.6
Waikato,2020,Male,Leukaemia,44,14.4
Wairarapa,2020,Male,Leukaemia,11,25.9
Waitemata,2020,Male,Leukaemia,46,11.2
West Coast,2020,Male,Leukaemia,4,0
Whanganui,2020,Male,Leukaemia,7,16.6
All New Zealand,2020,Male,Lung,1276,30.5
Auckland,2020,Male,Lung,76,22.6
Bay of Plenty,2020,Male,Lung,70,27.1
Canterbury,2020,Male,Lung,157,32.2
Capital & Coast,2020,Male,Lung,45,19.1
Counties Manukau,2020,Male,Lung,138,36.4
Hawke's Bay,2020,Male,Lung,59,35.4
Hutt Valley,2020,Male,Lung,27,22.3
Lakes,2020,Male,Lung,40,43.9
MidCentral,2020,Male,Lung,53,30.6
Nelson Marlborough,2020,Male,Lung,44,24.2
Northland,2020,Male,Lung,80,39.9
South Canterbury,2020,Male,Lung,28,46.7
Southern,2020,Male,Lung,83,26.5
Tairawhiti,2020,Male,Lung,17,38
Taranaki,2020,Male,Lung,31,28.5
Waikato,2020,Male,Lung,134,36.3
Wairarapa,2020,Male,Lung,12,19.1
Waitemata,2020,Male,Lung,143,30.2
West Coast,2020,Male,Lung,18,46.4
Whanganui,2020,Male,Lung,18,25
All New Zealand,2020,Male,Melanoma,1468,37.3
Auckland,2020,Male,Melanoma,132,41.3
Bay of Plenty,2020,Male,Melanoma,105,45
Canterbury,2020,Male,Melanoma,172,38.7
Capital & Coast,2020,Male,Melanoma,76,33.8
Counties Manukau,2020,Male,Melanoma,88,23.5
Hawke's Bay,2020,Male,Melanoma,42,26.8
Hutt Valley,2020,Male,Melanoma,42,35.9
Lakes,2020,Male,Melanoma,27,27.4
MidCentral,2020,Male,Melanoma,47,30.2
Nelson Marlborough,2020,Male,Melanoma,76,51.6
Northland,2020,Male,Melanoma,72,35.5
South Canterbury,2020,Male,Melanoma,23,37.3
Southern,2020,Male,Melanoma,108,37.4
Tairawhiti,2020,Male,Melanoma,15,34.5
Taranaki,2020,Male,Melanoma,48,50.8
Waikato,2020,Male,Melanoma,135,38.3
Wairarapa,2020,Male,Melanoma,23,47.2
Waitemata,2020,Male,Melanoma,200,43.2
West Coast,2020,Male,Melanoma,17,49.6
Whanganui,2020,Male,Melanoma,20,31.5
