DHB,year,sex,cancer,mortality_num,mortality_rate,group
Hutt Valley,2017,Male,Melanoma,6,4.8,Male
Lakes,2017,Male,Melanoma,5,0.0,Male
MidCentral,2017,Male,Melanoma,9,6.2,Male
Nelson Marlborough,2017,Male,Melanoma,6,3.8,Male
Northland,2017,Male,Melanoma,13,7.0,Male
South Canterbury,2017,Male,Melanoma,2,0.0,Male
Southern,2017,Male,Melanoma,15,4.9,Male
Tairawhiti,2017,Male,Melanoma,2,0.0,Male
Taranaki,2017,Male,Melanoma,7,6.6,Male
Waikato,2017,Male,Melanoma,25,7.4,Male
Waitemata,2017,Male,Melanoma,18,4.1,Male
West Coast,2017,Male,Melanoma,2,0.0,Male
Whanganui,2017,Male,Melanoma,4,0.0,Male
All New Zealand,2017,Male,Prostate,694,16.2,Male
Auckland,2017,Male,Prostate,42,12.7,Male
Bay of Plenty,2017,Male,Prostate,48,17.4,Male
Canterbury,2017,Male,Prostate,88,17.1,Male
Capital & Coast,2017,Male,Prostate,60,26.0,Male
Counties Manukau,2017,Male,Prostate,42,12.2,Male
Hawke's Bay,2017,Male,Prostate,36,20.1,Male
Hutt Valley,2017,Male,Prostate,25,20.4,Male
Lakes,2017,Male,Prostate,20,20.2,Male
MidCentral,2017,Male,Prostate,29,15.3,Male
Nelson Marlborough,2017,Male,Prostate,23,12.3,Male
Northland,2017,Male,Prostate,36,17.9,Male
South Canterbury,2017,Male,Prostate,9,12.1,Male
Southern,2017,Male,Prostate,55,16.9,Male
Tairawhiti,2017,Male,Prostate,7,16.2,Male
Taranaki,2017,Male,Prostate,14,10.0,Male
Waikato,2017,Male,Prostate,62,16.4,Male
Wairarapa,2017,Male,Prostate,10,18.3,Male
Waitemata,2017,Male,Prostate,67,13.8,Male
West Coast,2017,Male,Prostate,8,20.9,Male
Whanganui,2017,Male,Prostate,13,17.6,Male
All New Zealand,2017,Male,Stomach,196,5.2,Male
Auckland,2017,Male,Stomach,14,4.6,Male
Bay of Plenty,2017,Male,Stomach,14,7.1,Male
Canterbury,2017,Male,Stomach,22,4.6,Male
Capital & Coast,2017,Male,Stomach,8,3.5,Male
Counties Manukau,2017,Male,Stomach,21,6.4,Male
Hawke's Bay,2017,Male,Stomach,6,3.9,Male
Hutt Valley,2017,Male,Stomach,5,0.0,Male
Lakes,2017,Male,Stomach,10,13.2,Male
MidCentral,2017,Male,Stomach,7,4.3,Male
Nelson Marlborough,2017,Male,Stomach,6,4.0,Male
Northland,2017,Male,Stomach,11,6.3,Male
South Canterbury,2017,Male,Stomach,4,0.0,Male
Southern,2017,Male,Stomach,11,3.7,Male
Tairawhiti,2017,Male,Stomach,4,0.0,Male
Taranaki,2017,Male,Stomach,7,6.5,Male
Waikato,2017,Male,Stomach,19,5.9,Male
Wairarapa,2017,Male,Stomach,1,0.0,Male
Waitemata,2017,Male,Stomach,23,5.3,Male
Whanganui,2017,Male,Stomach,3,0.0,Male
All New Zealand,2018,Male,Liver,196,5.2,Male
Auckland,2018,Male,Liver,19,6.3,Male
Bay of Plenty,2018,Male,Liver,13,6.5,Male
Canterbury,2018,Male,Liver,23,5.1,Male
Capital & Coast,2018,Male,Liver,11,5.2,Male
Counties Manukau,2018,Male,Liver,24,7.0,Male
Hawke's Bay,2018,Male,Liver,9,6.1,Male
Hutt Valley,2018,Male,Liver,6,5.2,Male
Lakes,2018,Male,Liver,5,0.0,Male
MidCentral,2018,Male,Liver,4,0.0,Male
Nelson Marlborough,2018,Male,Liver,5,0.0,Male
Northland,2018,Male,Liver,11,6.5,Male
Southern,2018,Male,Liver,18,6.0,Male
Tairawhiti,2018,Male,Liver,2,0.0,Male
Taranaki,2018,Male,Liver,1,0.0,Male
Waikato,2018,Male,Liver,21,5.8,Male
Wairarapa,2018,Male,Liver,1,0.0,Male
Waitemata,2018,Male,Liver,21,4.8,Male
Whanganui,2018,Male,Liver,2,0.0,Male
All New Zealand,2018,Male,Melanoma,192,4.8,Male
Auckland,2018,Male,Melanoma,13,4.0,Male
Bay of Plenty,2018,Male,Melanoma,11,4.7,Male
Canterbury,2018,Male,Melanoma,20,4.6,Male
Capital & Coast,2018,Male,Melanoma,16,6.7,Male
Counties Manukau,2018,Male,Melanoma,11,3.1,Male
Hawke's Bay,2018,Male,Melanoma,16,9.8,Male
Hutt Valley,2018,Male,Melanoma,5,0.0,Male
Lakes,2018,Male,Melanoma,4,0.0,Male
MidCentral,2018,Male,Melanoma,15,9.0,Male
Nelson Marlborough,2018,Male,Melanoma,7,6.0,Male
Northland,2018,Male,Melanoma,13,6.6,Male
Southern,2018,Male,Melanoma,14,4.8,Male
Tairawhiti,2018,Male,Melanoma,1,0.0,Male
Taranaki,2018,Male,Melanoma,2,0.0,Male
Waikato,2018,Male,Melanoma,21,5.7,Male
Wairarapa,2018,Male,Melanoma,2,0.0,Male
Waitemata,2018,Male,Melanoma,16,3.5,Male
West Coast,2018,Male,Melanoma,1,0.0,Male
Whanganui,2018,Male,Melanoma,4,0.0,Male
All New Zealand,2018,Male,Prostate,701,15.9,Male
Auckland,2018,Male,Prostate,47,14.3,Male
Bay of Plenty,2018,Male,Prostate,41,14.2,Male
Canterbury,2018,Male,Prostate,79,15.2,Male
Capital & Coast,2018,Male,Prostate,39,16.0,Male
Counties Manukau,2018,Male,Prostate,64,18.1,Male
Hawke's Bay,2018,Male,Prostate,25,13.5,Male
Hutt Valley,2018,Male,Prostate,24,19.0,Male
Lakes,2018,Male,Prostate,12,12.0,Male
MidCentral,2018,Male,Prostate,35,18.3,Male
Nelson Marlborough,2018,Male,Prostate,37,18.4,Male
Northland,2018,Male,Prostate,33,15.5,Male
South Canterbury,2018,Male,Prostate,11,12.7,Male
Southern,2018,Male,Prostate,52,15.8,Male
Tairawhiti,2018,Male,Prostate,8,18.1,Male
Taranaki,2018,Male,Prostate,25,20.6,Male
Waikato,2018,Male,Prostate,63,15.6,Male
Wairarapa,2018,Male,Prostate,4,0.0,Male
Waitemata,2018,Male,Prostate,80,15.9,Male
West Coast,2018,Male,Prostate,5,0.0,Male
Whanganui,2018,Male,Prostate,17,24.3,Male
All New Zealand,2018,Male,Stomach,177,4.6,Male
Auckland,2018,Male,Stomach,8,2.7,Male
Bay of Plenty,2018,Male,Stomach,14,5.8,Male
Canterbury,2018,Male,Stomach,18,4.2,Male
Capital & Coast,2018,Male,Stomach,13,6.2,Male
Counties Manukau,2018,Male,Stomach,18,5.1,Male
Hawke's Bay,2018,Male,Stomach,8,5.7,Male
Hutt Valley,2018,Male,Stomach,5,0.0,Male
Lakes,2018,Male,Stomach,4,0.0,Male
MidCentral,2018,Male,Stomach,9,5.3,Male
Nelson Marlborough,2018,Male,Stomach,7,4.4,Male
Northland,2018,Male,Stomach,11,6.7,Male
South Canterbury,2018,Male,Stomach,4,0.0,Male
Southern,2018,Male,Stomach,7,2.2,Male
Tairawhiti,2018,Male,Stomach,4,0.0,Male
Taranaki,2018,Male,Stomach,5,0.0,Male
Waikato,2018,Male,Stomach,9,3.0,Male
Wairarapa,2018,Male,Stomach,2,0.0,Male
Waitemata,2018,Male,Stomach,22,4.8,Male
West Coast,2018,Male,Stomach,4,0.0,Male
Whanganui,2018,Male,Stomach,5,0.0,Male
All New Zealand,2019,Male,Liver,186,4.7,Male
Auckland,2019,Male,Liver,15,4.8,Male
Bay of Plenty,2019,Male,Liver,10,4.5,Male
Canterbury,2019,Male,Liver,35,7.7,Male
Capital & Coast,2019,Male,Liver,10,4.4,Male
Counties Manukau,2019,Male,Liver,23,6.3,Male
Hawke's Bay,2019,Male,Liver,9,5.9,Male
Hutt Valley,2019,Male,Liver,8,7.3,Male
Lakes,2019,Male,Liver,5,0.0,Male
MidCentral,2019,Male,Liver,5,0.0,Male
Nelson Marlborough,2019,Male,Liver,8,4.4,Male
Northland,2019,Male,Liver,2,0.0,Male
South Canterbury,2019,Male,Liver,4,0.0,Male
Southern,2019,Male,Liver,12,4.3,Male
Waikato,2019,Male,Liver,12,4.0,Male
Wairarapa,2019,Male,Liver,3,0.0,Male
Waitemata,2019,Male,Liver,19,4.1,Male
West Coast,2019,Male,Liver,2,0.0,Male
Whanganui,2019,Male,Liver,4,0.0,Male
All New Zealand,2019,Male,Melanoma,217,5.3,Male
Auckland,2019,Male,Melanoma,11,3.3,Male
Bay of Plenty,2019,Male,Melanoma,15,5.8,Male
Canterbury,2019,Male,Melanoma,26,5.0,Male
Capital & Coast,2019,Male,Melanoma,12,5.0,Male
Counties Manukau,2019,Male,Melanoma,13,3.7,Male
Hawke's Bay,2019,Male,Melanoma,7,6.2,Male
Hutt Valley,2019,Male,Melanoma,8,7.0,Male
Lakes,2019,Male,Melanoma,2,0.0,Male
MidCentral,2019,Male,Melanoma,13,8.0,Male
Nelson Marlborough,2019,Male,Melanoma,11,6.3,Male
Northland,2019,Male,Melanoma,11,5.9,Male
South Canterbury,2019,Male,Melanoma,4,0.0,Male
Southern,2019,Male,Melanoma,16,5.7,Male
Taranaki,2019,Male,Melanoma,9,8.0,Male
Waikato,2019,Male,Melanoma,20,5.1,Male
Wairarapa,2019,Male,Melanoma,5,0.0,Male
Waitemata,2019,Male,Melanoma,28,6.0,Male
West Coast,2019,Male,Melanoma,2,0.0,Male
Whanganui,2019,Male,Melanoma,4,0.0,Male
All New Zealand,2019,Male,Prostate,714,15.5,Male
Auckland,2019,Male,Prostate,42,12.4,Male
Bay of Plenty,2019,Male,Prostate,54,16.7,Male
Canterbury,2019,Male,Prostate,86,16.8,Male
Capital & Coast,2019,Male,Prostate,42,16.4,Male
Counties Manukau,2019,Male,Prostate,51,13.8,Male
Hawke's Bay,2019,Male,Prostate,33,17.5,Male
Hutt Valley,2019,Male,Prostate,23,17.1,Male
Lakes,2019,Male,Prostate,20,17.9,Male
MidCentral,2019,Male,Prostate,36,17.4,Male
Nelson Marlborough,2019,Male,Prostate,23,11.2,Male
Northland,2019,Male,Prostate,39,17.7,Male
South Canterbury,2019,Male,Prostate,22,26.8,Male
Southern,2019,Male,Prostate,49,13.8,Male
Tairawhiti,2019,Male,Prostate,12,26.0,Male
Taranaki,2019,Male,Prostate,22,16.9,Male
Waikato,2019,Male,Prostate,57,13.9,Male
Wairarapa,2019,Male,Prostate,12,19.7,Male
Waitemata,2019,Male,Prostate,70,13.5,Male
West Coast,2019,Male,Prostate,4,0.0,Male
Whanganui,2019,Male,Prostate,17,21.7,Male
All New Zealand,2019,Male,Stomach,181,4.8,Male
Auckland,2019,Male,Stomach,9,2.8,Male
Bay of Plenty,2019,Male,Stomach,15,6.7,Male
Canterbury,2019,Male,Stomach,27,6.0,Male
Capital & Coast,2019,Male,Stomach,10,4.8,Male
Counties Manukau,2019,Male,Stomach,21,5.9,Male
Hawke's Bay,2019,Male,Stomach,9,5.7,Male
Hutt Valley,2019,Male,Stomach,7,5.5,Male
Lakes,2019,Male,Stomach,6,7.0,Male
MidCentral,2019,Male,Stomach,6,4.0,Male
Nelson Marlborough,2019,Male,Stomach,5,0.0,Male
Northland,2019,Male,Stomach,9,4.9,Male
South Canterbury,2019,Male,Stomach,1,0.0,Male
Southern,2019,Male,Stomach,13,5.0,Male
Tairawhiti,2019,Male,Stomach,2,0.0,Male
Taranaki,2019,Male,Stomach,9,8.9,Male
Waikato,2019,Male,Stomach,13,3.9,Male
Wairarapa,2019,Male,Stomach,4,0.0,Male
Waitemata,2019,Male,Stomach,10,2.3,Male
Whanganui,2019,Male,Stomach,5,0.0,Male
All New Zealand,2020,Male,Liver,216,5.3,Male
Auckland,2020,Male,Liver,22,6.5,Male
Bay of Plenty,2020,Male,Liver,13,5.4,Male
Canterbury,2020,Male,Liver,16,3.3,Male
Capital & Coast,2020,Male,Liver,13,5.9,Male
Counties Manukau,2020,Male,Liver,22,5.8,Male
Hawke's Bay,2020,Male,Liver,14,9.5,Male
Hutt Valley,2020,Male,Liver,8,6.3,Male
Lakes,2020,Male,Liver,5,0.0,Male
MidCentral,2020,Male,Liver,3,0.0,Male
Nelson Marlborough,2020,Male,Liver,6,3.6,Male
Northland,2020,Male,Liver,9,5.6,Male
South Canterbury,2020,Male,Liver,6,10.8,Male
Southern,2020,Male,Liver,22,7.2,Male
Tairawhiti,2020,Male,Liver,2,0.0,Male
Taranaki,2020,Male,Liver,4,0.0,Male
Waikato,2020,Male,Liver,20,5.4,Male
Wairarapa,2020,Male,Liver,3,0.0,Male
Waitemata,2020,Male,Liver,24,5.3,Male
West Coast,2020,Male,Liver,1,0.0,Male
Whanganui,2020,Male,Liver,3,0.0,Male
All New Zealand,2020,Male,Melanoma,198,4.6,Male
Auckland,2020,Male,Melanoma,12,3.4,Male
Bay of Plenty,2020,Male,Melanoma,15,5.8,Male
Canterbury,2020,Male,Melanoma,26,5.3,Male
Capital & Coast,2020,Male,Melanoma,12,5.3,Male
Counties Manukau,2020,Male,Melanoma,7,1.9,Male
Hawke's Bay,2020,Male,Melanoma,10,5.9,Male
Hutt Valley,2020,Male,Melanoma,7,5.4,Male
Lakes,2020,Male,Melanoma,4,0.0,Male
MidCentral,2020,Male,Melanoma,15,8.3,Male
Nelson Marlborough,2020,Male,Melanoma,3,0.0,Male
Northland,2020,Male,Melanoma,6,3.7,Male
South Canterbury,2020,Male,Melanoma,4,0.0,Male
Southern,2020,Male,Melanoma,17,5.1,Male
Tairawhiti,2020,Male,Melanoma,3,0.0,Male
Taranaki,2020,Male,Melanoma,6,5.2,Male
Waikato,2020,Male,Melanoma,23,6.1,Male
Wairarapa,2020,Male,Melanoma,6,12.4,Male
Waitemata,2020,Male,Melanoma,15,2.7,Male
West Coast,2020,Male,Melanoma,2,0.0,Male
Whanganui,2020,Male,Melanoma,5,0.0,Male
All New Zealand,2020,Male,Prostate,708,15.0,Male
Auckland,2020,Male,Prostate,56,15.6,Male
Bay of Plenty,2020,Male,Prostate,50,15.2,Male
Canterbury,2020,Male,Prostate,64,11.6,Male
Capital & Coast,2020,Male,Prostate,40,15.7,Male
Counties Manukau,2020,Male,Prostate,55,14.2,Male
Hawke's Bay,2020,Male,Prostate,39,19.9,Male
Hutt Valley,2020,Male,Prostate,18,12.8,Male
Lakes,2020,Male,Prostate,9,8.3,Male
MidCentral,2020,Male,Prostate,37,17.8,Male
Nelson Marlborough,2020,Male,Prostate,25,12.7,Male
Northland,2020,Male,Prostate,31,13.3,Male
South Canterbury,2020,Male,Prostate,12,14.3,Male
Southern,2020,Male,Prostate,64,18.1,Male
Tairawhiti,2020,Male,Prostate,11,24.2,Male
Taranaki,2020,Male,Prostate,24,17.5,Male
Waikato,2020,Male,Prostate,60,13.8,Male
Wairarapa,2020,Male,Prostate,9,13.0,Male
Waitemata,2020,Male,Prostate,80,15.1,Male
West Coast,2020,Male,Prostate,8,18.0,Male
Whanganui,2020,Male,Prostate,16,20.1,Male
All New Zealand,2020,Male,Stomach,184,4.6,Male
Auckland,2020,Male,Stomach,10,3.4,Male
Bay of Plenty,2020,Male,Stomach,12,4.8,Male
Canterbury,2020,Male,Stomach,22,4.5,Male
Capital & Coast,2020,Male,Stomach,15,6.6,Male
Counties Manukau,2020,Male,Stomach,29,8.0,Male
Hawke's Bay,2020,Male,Stomach,9,5.6,Male
Hutt Valley,2020,Male,Stomach,4,0.0,Male
Lakes,2020,Male,Stomach,5,0.0,Male
MidCentral,2020,Male,Stomach,6,3.0,Male
Nelson Marlborough,2020,Male,Stomach,4,0.0,Male
Northland,2020,Male,Stomach,9,4.7,Male
South Canterbury,2020,Male,Stomach,1,0.0,Male
Southern,2020,Male,Stomach,13,4.4,Male
Tairawhiti,2020,Male,Stomach,7,18.1,Male
Taranaki,2020,Male,Stomach,6,5.8,Male
Waikato,2020,Male,Stomach,10,2.3,Male
Wairarapa,2020,Male,Stomach,2,0.0,Male
Waitemata,2020,Male,Stomach,18,3.6,Male
Whanganui,2020,Male,Stomach,2,0.0,Male
Tairawhiti,2011,Male,Liver,0,0.0,Male
Tairawhiti,2012,Male,Melanoma,0,0.0,Male
West Coast,2012,Male,Melanoma,0,0.0,Male
West Coast,2012,Male,Stomach,0,0.0,Male
Whanganui,2012,Male,Liver,0,0.0,Male
Tairawhiti,2013,Male,Liver,0,0.0,Male
Wairarapa,2015,Male,Stomach,0,0.0,Male
Whanganui,2016,Male,Liver,0,0.0,Male
Wairarapa,2017,Male,Melanoma,0,0.0,Male
West Coast,2017,Male,Stomach,0,0.0,Male
Whanganui,2017,Male,Liver,0,0.0,Male
South Canterbury,2018,Male,Liver,0,0.0,Male
South Canterbury,2018,Male,Melanoma,0,0.0,Male
West Coast,2018,Male,Liver,0,0.0,Male
Tairawhiti,2019,Male,Liver,0,0.0,Male
Tairawhiti,2019,Male,Melanoma,0,0.0,Male
Taranaki,2019,Male,Liver,0,0.0,Male
West Coast,2019,Male,Stomach,0,0.0,Male
West Coast,2020,Male,Stomach,0,0.0,Male
All New Zealand,2011,Female,Breast,634,18.3,Female
Auckland,2011,Female,Breast,45,15.4,Female
Bay of Plenty,2011,Female,Breast,41,19.5,Female
Canterbury,2011,Female,Breast,70,18.4,Female
Capital & Coast,2011,Female,Breast,34,16.3,Female
Counties Manukau,2011,Female,Breast,70,22.4,Female
Hawke's Bay,2011,Female,Breast,32,20.3,Female
Hutt Valley,2011,Female,Breast,21,17.1,Female
Lakes,2011,Female,Breast,14,15.2,Female
MidCentral,2011,Female,Breast,22,13.9,Female
Nelson Marlborough,2011,Female,Breast,25,17.1,Female
Northland,2011,Female,Breast,22,16.1,Female
South Canterbury,2011,Female,Breast,8,14.6,Female
Southern,2011,Female,Breast,49,18.9,Female
Tairawhiti,2011,Female,Breast,3,0.0,Female
Taranaki,2011,Female,Breast,17,14.7,Female
Waikato,2011,Female,Breast,46,16.0,Female
Wairarapa,2011,Female,Breast,9,24.7,Female
Waitemata,2011,Female,Breast,90,22.7,Female
West Coast,2011,Female,Breast,2,0.0,Female
Whanganui,2011,Female,Breast,14,25.2,Female
All New Zealand,2011,Female,Ovarian,199,5.5,Female
Auckland,2011,Female,Ovarian,17,5.2,Female
Bay of Plenty,2011,Female,Ovarian,9,4.4,Female
Canterbury,2011,Female,Ovarian,33,7.9,Female
Capital & Coast,2011,Female,Ovarian,11,4.8,Female
Counties Manukau,2011,Female,Ovarian,14,4.7,Female
Hawke's Bay,2011,Female,Ovarian,11,8.0,Female
Hutt Valley,2011,Female,Ovarian,8,7.2,Female
Lakes,2011,Female,Ovarian,3,0.0,Female
MidCentral,2011,Female,Ovarian,11,8.1,Female
Nelson Marlborough,2011,Female,Ovarian,4,0.0,Female
Northland,2011,Female,Ovarian,9,6.1,Female
South Canterbury,2011,Female,Ovarian,1,0.0,Female
Southern,2011,Female,Ovarian,15,5.3,Female
Tairawhiti,2011,Female,Ovarian,2,0.0,Female
Taranaki,2011,Female,Ovarian,7,7.5,Female
Waikato,2011,Female,Ovarian,19,5.9,Female
Wairarapa,2011,Female,Ovarian,1,0.0,Female
Waitemata,2011,Female,Ovarian,20,4.5,Female
West Coast,2011,Female,Ovarian,3,0.0,Female
Whanganui,2011,Female,Ovarian,1,0.0,Female
All New Zealand,2011,Female,Unspecified site,210,5.0,Female
Auckland,2011,Female,Unspecified site,13,3.9,Female
Bay of Plenty,2011,Female,Unspecified site,15,5.7,Female
Canterbury,2011,Female,Unspecified site,19,3.0,Female
Capital & Coast,2011,Female,Unspecified site,11,4.8,Female
Counties Manukau,2011,Female,Unspecified site,18,5.1,Female
Hawke's Bay,2011,Female,Unspecified site,8,4.5,Female
Hutt Valley,2011,Female,Unspecified site,7,4.9,Female
Lakes,2011,Female,Unspecified site,7,6.6,Female
MidCentral,2011,Female,Unspecified site,13,8.5,Female
Nelson Marlborough,2011,Female,Unspecified site,7,4.2,Female
Northland,2011,Female,Unspecified site,14,8.5,Female
South Canterbury,2011,Female,Unspecified site,4,0.0,Female
Southern,2011,Female,Unspecified site,18,4.9,Female
Tairawhiti,2011,Female,Unspecified site,3,0.0,Female
Taranaki,2011,Female,Unspecified site,8,5.8,Female
Waikato,2011,Female,Unspecified site,18,4.8,Female
Wairarapa,2011,Female,Unspecified site,3,0.0,Female
Waitemata,2011,Female,Unspecified site,16,3.8,Female
West Coast,2011,Female,Unspecified site,2,0.0,Female
Whanganui,2011,Female,Unspecified site,6,8.9,Female
All New Zealand,2011,Female,Uterine,107,3.0,Female
Auckland,2011,Female,Uterine,15,5.4,Female
Bay of Plenty,2011,Female,Uterine,5,0.0,Female
Canterbury,2011,Female,Uterine,8,1.9,Female
Capital & Coast,2011,Female,Uterine,4,0.0,Female
Counties Manukau,2011,Female,Uterine,16,5.1,Female
Hawke's Bay,2011,Female,Uterine,5,0.0,Female
Hutt Valley,2011,Female,Uterine,4,0.0,Female
Lakes,2011,Female,Uterine,3,0.0,Female
MidCentral,2011,Female,Uterine,6,3.8,Female
Nelson Marlborough,2011,Female,Uterine,2,0.0,Female
Northland,2011,Female,Uterine,3,0.0,Female
South Canterbury,2011,Female,Uterine,3,0.0,Female
Southern,2011,Female,Uterine,2,0.0,Female
Tairawhiti,2011,Female,Uterine,1,0.0,Female
Taranaki,2011,Female,Uterine,3,0.0,Female
Waikato,2011,Female,Uterine,9,2.8,Female
Waitemata,2011,Female,Uterine,15,3.8,Female
Whanganui,2011,Female,Uterine,3,0.0,Female
All New Zealand,2012,Female,Breast,615,17.6,Female
Auckland,2012,Female,Breast,42,14.4,Female
Bay of Plenty,2012,Female,Breast,33,15.4,Female
Canterbury,2012,Female,Breast,78,19.4,Female
Capital & Coast,2012,Female,Breast,40,18.8,Female
Counties Manukau,2012,Female,Breast,48,15.6,Female
Hawke's Bay,2012,Female,Breast,23,14.4,Female
Hutt Valley,2012,Female,Breast,14,13.3,Female
Lakes,2012,Female,Breast,20,24.3,Female
MidCentral,2012,Female,Breast,21,16.2,Female
Nelson Marlborough,2012,Female,Breast,21,12.7,Female
Northland,2012,Female,Breast,29,22.2,Female
South Canterbury,2012,Female,Breast,13,19.6,Female
Southern,2012,Female,Breast,54,21.0,Female
Tairawhiti,2012,Female,Breast,11,26.2,Female
Taranaki,2012,Female,Breast,16,14.0,Female
Waikato,2012,Female,Breast,53,18.5,Female
Wairarapa,2012,Female,Breast,5,0.0,Female
Waitemata,2012,Female,Breast,76,19.1,Female
West Coast,2012,Female,Breast,5,0.0,Female
Whanganui,2012,Female,Breast,13,20.6,Female
All New Zealand,2012,Female,Ovarian,175,4.8,Female
Auckland,2012,Female,Ovarian,10,3.4,Female
Bay of Plenty,2012,Female,Ovarian,11,4.6,Female
Canterbury,2012,Female,Ovarian,27,5.9,Female
Capital & Coast,2012,Female,Ovarian,9,4.4,Female
Counties Manukau,2012,Female,Ovarian,10,3.0,Female
Hawke's Bay,2012,Female,Ovarian,5,0.0,Female
Hutt Valley,2012,Female,Ovarian,4,0.0,Female
Lakes,2012,Female,Ovarian,3,0.0,Female
MidCentral,2012,Female,Ovarian,7,4.4,Female
Nelson Marlborough,2012,Female,Ovarian,14,10.9,Female
Northland,2012,Female,Ovarian,6,4.1,Female
South Canterbury,2012,Female,Ovarian,4,0.0,Female
Southern,2012,Female,Ovarian,17,7.2,Female
Tairawhiti,2012,Female,Ovarian,4,0.0,Female
Taranaki,2012,Female,Ovarian,3,0.0,Female
Waikato,2012,Female,Ovarian,11,3.4,Female
Wairarapa,2012,Female,Ovarian,2,0.0,Female
Waitemata,2012,Female,Ovarian,21,4.9,Female
West Coast,2012,Female,Ovarian,2,0.0,Female
Whanganui,2012,Female,Ovarian,5,0.0,Female
All New Zealand,2012,Female,Unspecified site,180,4.1,Female
Auckland,2012,Female,Unspecified site,13,3.6,Female
Bay of Plenty,2012,Female,Unspecified site,8,3.4,Female
Canterbury,2012,Female,Unspecified site,19,2.9,Female
Capital & Coast,2012,Female,Unspecified site,8,2.8,Female
Counties Manukau,2012,Female,Unspecified site,21,5.7,Female
Hawke's Bay,2012,Female,Unspecified site,11,5.9,Female
Hutt Valley,2012,Female,Unspecified site,5,0.0,Female
Lakes,2012,Female,Unspecified site,8,9.2,Female
MidCentral,2012,Female,Unspecified site,7,4.4,Female
Nelson Marlborough,2012,Female,Unspecified site,8,4.0,Female
Northland,2012,Female,Unspecified site,9,5.1,Female
South Canterbury,2012,Female,Unspecified site,2,0.0,Female
Southern,2012,Female,Unspecified site,23,5.9,Female
Tairawhiti,2012,Female,Unspecified site,1,0.0,Female
Taranaki,2012,Female,Unspecified site,5,0.0,Female
Waikato,2012,Female,Unspecified site,9,2.7,Female
Wairarapa,2012,Female,Unspecified site,5,0.0,Female
Waitemata,2012,Female,Unspecified site,16,3.1,Female
West Coast,2012,Female,Unspecified site,1,0.0,Female
Whanganui,2012,Female,Unspecified site,1,0.0,Female
All New Zealand,2012,Female,Uterine,121,3.2,Female
Auckland,2012,Female,Uterine,14,4.6,Female
Bay of Plenty,2012,Female,Uterine,4,0.0,Female
Canterbury,2012,Female,Uterine,15,3.2,Female
Capital & Coast,2012,Female,Uterine,8,3.3,Female
Counties Manukau,2012,Female,Uterine,21,6.6,Female
Hawke's Bay,2012,Female,Uterine,3,0.0,Female
Hutt Valley,2012,Female,Uterine,4,0.0,Female
Lakes,2012,Female,Uterine,1,0.0,Female
MidCentral,2012,Female,Uterine,3,0.0,Female
Nelson Marlborough,2012,Female,Uterine,4,0.0,Female
Northland,2012,Female,Uterine,2,0.0,Female
South Canterbury,2012,Female,Uterine,1,0.0,Female
Southern,2012,Female,Uterine,5,0.0,Female
Tairawhiti,2012,Female,Uterine,3,0.0,Female
Taranaki,2012,Female,Uterine,4,0.0,Female
Waikato,2012,Female,Uterine,9,2.9,Female
Wairarapa,2012,Female,Uterine,2,0.0,Female
Waitemata,2012,Female,Uterine,13,2.8,Female
West Coast,2012,Female,Uterine,2,0.0,Female
Whanganui,2012,Female,Uterine,3,0.0,Female
All New Zealand,2013,Female,Breast,632,17.7,Female
Auckland,2013,Female,Breast,46,14.7,Female
Bay of Plenty,2013,Female,Breast,47,26.4,Female
Canterbury,2013,Female,Breast,78,19.1,Female
Capital & Coast,2013,Female,Breast,38,16.3,Female
Counties Manukau,2013,Female,Breast,51,15.9,Female
Hawke's Bay,2013,Female,Breast,31,22.1,Female
Hutt Valley,2013,Female,Breast,21,19.1,Female
Lakes,2013,Female,Breast,19,21.3,Female
MidCentral,2013,Female,Breast,22,14.3,Female
Nelson Marlborough,2013,Female,Breast,31,23.2,Female
Northland,2013,Female,Breast,28,19.1,Female
South Canterbury,2013,Female,Breast,6,10.6,Female
Southern,2013,Female,Breast,41,15.9,Female
Tairawhiti,2013,Female,Breast,6,16.8,Female
Taranaki,2013,Female,Breast,25,23.8,Female
Waikato,2013,Female,Breast,53,18.4,Female
Wairarapa,2013,Female,Breast,13,30.8,Female
Waitemata,2013,Female,Breast,64,15.0,Female
West Coast,2013,Female,Breast,6,17.6,Female
Whanganui,2013,Female,Breast,6,11.3,Female
All New Zealand,2013,Female,Ovarian,178,4.6,Female
Auckland,2013,Female,Ovarian,18,5.7,Female
Bay of Plenty,2013,Female,Ovarian,9,3.9,Female
Canterbury,2013,Female,Ovarian,21,4.4,Female
Capital & Coast,2013,Female,Ovarian,9,3.7,Female
Counties Manukau,2013,Female,Ovarian,12,3.3,Female
Hawke's Bay,2013,Female,Ovarian,5,0.0,Female
Hutt Valley,2013,Female,Ovarian,8,6.0,Female
Lakes,2013,Female,Ovarian,5,0.0,Female
MidCentral,2013,Female,Ovarian,8,3.9,Female
Nelson Marlborough,2013,Female,Ovarian,6,3.6,Female
Northland,2013,Female,Ovarian,11,9.1,Female
South Canterbury,2013,Female,Ovarian,1,0.0,Female
Southern,2013,Female,Ovarian,10,3.4,Female
Tairawhiti,2013,Female,Ovarian,1,0.0,Female
Taranaki,2013,Female,Ovarian,8,7.6,Female
Waikato,2013,Female,Ovarian,20,6.6,Female
