DHB,year,sex,cancer,mortality_num,mortality_rate
Hawke's Bay,2018,Male,Melanoma,16,9.8
Hutt Valley,2018,Male,Melanoma,5,0.0
Lakes,2018,Male,Melanoma,4,0.0
MidCentral,2018,Male,Melanoma,15,9.0
Nelson Marlborough,2018,Male,Melanoma,7,6.0
Northland,2018,Male,Melanoma,13,6.6
Southern,2018,Male,Melanoma,14,4.8
Tairawhiti,2018,Male,Melanoma,1,0.0
Taranaki,2018,Male,Melanoma,2,0.0
Waikato,2018,Male,Melanoma,21,5.7
Wairarapa,2018,Male,Melanoma,2,0.0
Waitemata,2018,Male,Melanoma,16,3.5
West Coast,2018,Male,Melanoma,1,0.0
Whanganui,2018,Male,Melanoma,4,0.0
All New Zealand,2018,Male,Non-Hodgkin lymphoma,188,4.8
Auckland,2018,Male,Non-Hodgkin lymphoma,6,2.1
Bay of Plenty,2018,Male,Non-Hodgkin lymphoma,4,0.0
Canterbury,2018,Male,Non-Hodgkin lymphoma,22,5.0
Capital & Coast,2018,Male,Non-Hodgkin lymphoma,15,6.8
Counties Manukau,2018,Male,Non-Hodgkin lymphoma,16,4.6
Hawke's Bay,2018,Male,Non-Hodgkin lymphoma,9,5.5
Hutt Valley,2018,Male,Non-Hodgkin lymphoma,8,6.5
Lakes,2018,Male,Non-Hodgkin lymphoma,3,0.0
MidCentral,2018,Male,Non-Hodgkin lymphoma,4,0.0
Nelson Marlborough,2018,Male,Non-Hodgkin lymphoma,13,6.9
Northland,2018,Male,Non-Hodgkin lymphoma,12,6.2
South Canterbury,2018,Male,Non-Hodgkin lymphoma,5,0.0
Southern,2018,Male,Non-Hodgkin lymphoma,18,6.2
Tairawhiti,2018,Male,Non-Hodgkin lymphoma,1,0.0
Taranaki,2018,Male,Non-Hodgkin lymphoma,8,7.4
Waikato,2018,Male,Non-Hodgkin lymphoma,16,4.4
Wairarapa,2018,Male,Non-Hodgkin lymphoma,6,14.8
Waitemata,2018,Male,Non-Hodgkin lymphoma,14,3.0
West Coast,2018,Male,Non-Hodgkin lymphoma,2,0.0
Whanganui,2018,Male,Non-Hodgkin lymphoma,6,9.3
All New Zealand,2018,Male,Pancreas,265,6.8
Auckland,2018,Male,Pancreas,21,6.6
Bay of Plenty,2018,Male,Pancreas,16,6.9
Canterbury,2018,Male,Pancreas,29,6.4
Capital & Coast,2018,Male,Pancreas,14,6.2
Counties Manukau,2018,Male,Pancreas,20,5.8
Hawke's Bay,2018,Male,Pancreas,10,6.4
Hutt Valley,2018,Male,Pancreas,10,8.6
Lakes,2018,Male,Pancreas,9,9.0
MidCentral,2018,Male,Pancreas,8,5.1
Nelson Marlborough,2018,Male,Pancreas,10,6.1
Northland,2018,Male,Pancreas,18,9.7
South Canterbury,2018,Male,Pancreas,3,0.0
Southern,2018,Male,Pancreas,17,5.4
Tairawhiti,2018,Male,Pancreas,1,0.0
Taranaki,2018,Male,Pancreas,12,12.0
Waikato,2018,Male,Pancreas,23,6.4
Wairarapa,2018,Male,Pancreas,1,0.0
Waitemata,2018,Male,Pancreas,34,8.3
West Coast,2018,Male,Pancreas,4,0.0
Whanganui,2018,Male,Pancreas,5,0.0
All New Zealand,2018,Male,Prostate,701,15.9
Auckland,2018,Male,Prostate,47,14.3
Bay of Plenty,2018,Male,Prostate,41,14.2
Canterbury,2018,Male,Prostate,79,15.2
Capital & Coast,2018,Male,Prostate,39,16.0
Counties Manukau,2018,Male,Prostate,64,18.1
Hawke's Bay,2018,Male,Prostate,25,13.5
Hutt Valley,2018,Male,Prostate,24,19.0
Lakes,2018,Male,Prostate,12,12.0
MidCentral,2018,Male,Prostate,35,18.3
Nelson Marlborough,2018,Male,Prostate,37,18.4
Northland,2018,Male,Prostate,33,15.5
South Canterbury,2018,Male,Prostate,11,12.7
Southern,2018,Male,Prostate,52,15.8
Tairawhiti,2018,Male,Prostate,8,18.1
Taranaki,2018,Male,Prostate,25,20.6
Waikato,2018,Male,Prostate,63,15.6
Wairarapa,2018,Male,Prostate,4,0.0
Waitemata,2018,Male,Prostate,80,15.9
West Coast,2018,Male,Prostate,5,0.0
Whanganui,2018,Male,Prostate,17,24.3
All New Zealand,2018,Male,Stomach,177,4.6
Auckland,2018,Male,Stomach,8,2.7
Bay of Plenty,2018,Male,Stomach,14,5.8
Canterbury,2018,Male,Stomach,18,4.2
Capital & Coast,2018,Male,Stomach,13,6.2
Counties Manukau,2018,Male,Stomach,18,5.1
Hawke's Bay,2018,Male,Stomach,8,5.7
Hutt Valley,2018,Male,Stomach,5,0.0
Lakes,2018,Male,Stomach,4,0.0
MidCentral,2018,Male,Stomach,9,5.3
Nelson Marlborough,2018,Male,Stomach,7,4.4
Northland,2018,Male,Stomach,11,6.7
South Canterbury,2018,Male,Stomach,4,0.0
Southern,2018,Male,Stomach,7,2.2
Tairawhiti,2018,Male,Stomach,4,0.0
Taranaki,2018,Male,Stomach,5,0.0
Waikato,2018,Male,Stomach,9,3.0
Wairarapa,2018,Male,Stomach,2,0.0
Waitemata,2018,Male,Stomach,22,4.8
West Coast,2018,Male,Stomach,4,0.0
Whanganui,2018,Male,Stomach,5,0.0
All New Zealand,2019,Male,Brain,153,4.4
Auckland,2019,Male,Brain,8,2.6
Bay of Plenty,2019,Male,Brain,10,4.9
Canterbury,2019,Male,Brain,19,4.6
Capital & Coast,2019,Male,Brain,5,0.0
Counties Manukau,2019,Male,Brain,19,5.5
Hawke's Bay,2019,Male,Brain,7,4.3
Hutt Valley,2019,Male,Brain,5,0.0
Lakes,2019,Male,Brain,2,0.0
MidCentral,2019,Male,Brain,2,0.0
Nelson Marlborough,2019,Male,Brain,6,4.2
Northland,2019,Male,Brain,5,0.0
South Canterbury,2019,Male,Brain,6,8.5
Southern,2019,Male,Brain,14,6.0
Tairawhiti,2019,Male,Brain,2,0.0
Taranaki,2019,Male,Brain,5,0.0
Waikato,2019,Male,Brain,14,4.9
Wairarapa,2019,Male,Brain,3,0.0
Waitemata,2019,Male,Brain,18,4.3
Whanganui,2019,Male,Brain,3,0.0
All New Zealand,2019,Male,Colorectal,660,15.9
Auckland,2019,Male,Colorectal,29,8.7
Bay of Plenty,2019,Male,Colorectal,41,14.1
Canterbury,2019,Male,Colorectal,86,17.5
Capital & Coast,2019,Male,Colorectal,41,17.9
Counties Manukau,2019,Male,Colorectal,58,16.3
Hawke's Bay,2019,Male,Colorectal,28,16.6
Hutt Valley,2019,Male,Colorectal,16,13.5
Lakes,2019,Male,Colorectal,18,17.2
MidCentral,2019,Male,Colorectal,38,20.9
Nelson Marlborough,2019,Male,Colorectal,31,16.9
Northland,2019,Male,Colorectal,32,17.6
South Canterbury,2019,Male,Colorectal,14,19.5
Southern,2019,Male,Colorectal,52,17.6
Tairawhiti,2019,Male,Colorectal,7,16.9
Taranaki,2019,Male,Colorectal,22,18.1
Waikato,2019,Male,Colorectal,58,15.8
Wairarapa,2019,Male,Colorectal,14,24.4
Waitemata,2019,Male,Colorectal,55,11.6
West Coast,2019,Male,Colorectal,8,20.4
Whanganui,2019,Male,Colorectal,12,17.2
All New Zealand,2019,Male,Leukaemia,192,4.7
Auckland,2019,Male,Leukaemia,10,3.2
Bay of Plenty,2019,Male,Leukaemia,14,4.9
Canterbury,2019,Male,Leukaemia,19,3.9
Capital & Coast,2019,Male,Leukaemia,10,5.3
Counties Manukau,2019,Male,Leukaemia,11,3.2
Hawke's Bay,2019,Male,Leukaemia,10,7.1
Hutt Valley,2019,Male,Leukaemia,7,5.5
Lakes,2019,Male,Leukaemia,7,6.5
MidCentral,2019,Male,Leukaemia,9,4.3
Nelson Marlborough,2019,Male,Leukaemia,7,4.3
Northland,2019,Male,Leukaemia,11,4.9
South Canterbury,2019,Male,Leukaemia,1,0.0
Southern,2019,Male,Leukaemia,16,5.3
Tairawhiti,2019,Male,Leukaemia,1,0.0
Taranaki,2019,Male,Leukaemia,4,0.0
Waikato,2019,Male,Leukaemia,21,5.6
Wairarapa,2019,Male,Leukaemia,1,0.0
Waitemata,2019,Male,Leukaemia,30,6.3
West Coast,2019,Male,Leukaemia,2,0.0
Whanganui,2019,Male,Leukaemia,1,0.0
All New Zealand,2019,Male,Liver,186,4.7
Auckland,2019,Male,Liver,15,4.8
Bay of Plenty,2019,Male,Liver,10,4.5
Canterbury,2019,Male,Liver,35,7.7
Capital & Coast,2019,Male,Liver,10,4.4
Counties Manukau,2019,Male,Liver,23,6.3
Hawke's Bay,2019,Male,Liver,9,5.9
Hutt Valley,2019,Male,Liver,8,7.3
Lakes,2019,Male,Liver,5,0.0
MidCentral,2019,Male,Liver,5,0.0
Nelson Marlborough,2019,Male,Liver,8,4.4
Northland,2019,Male,Liver,2,0.0
South Canterbury,2019,Male,Liver,4,0.0
Southern,2019,Male,Liver,12,4.3
Waikato,2019,Male,Liver,12,4.0
Wairarapa,2019,Male,Liver,3,0.0
Waitemata,2019,Male,Liver,19,4.1
West Coast,2019,Male,Liver,2,0.0
Whanganui,2019,Male,Liver,4,0.0
All New Zealand,2019,Male,Lung,925,22.5
Auckland,2019,Male,Lung,52,16.1
Bay of Plenty,2019,Male,Lung,67,25.5
Canterbury,2019,Male,Lung,86,17.5
Capital & Coast,2019,Male,Lung,53,23.5
Counties Manukau,2019,Male,Lung,99,27.4
Hawke's Bay,2019,Male,Lung,46,29.0
Hutt Valley,2019,Male,Lung,29,24.5
Lakes,2019,Male,Lung,22,22.4
MidCentral,2019,Male,Lung,48,30.5
Nelson Marlborough,2019,Male,Lung,23,13.5
Northland,2019,Male,Lung,56,27.3
South Canterbury,2019,Male,Lung,18,25.1
Southern,2019,Male,Lung,59,18.6
Tairawhiti,2019,Male,Lung,15,38.5
Taranaki,2019,Male,Lung,27,22.5
Waikato,2019,Male,Lung,92,25.8
Wairarapa,2019,Male,Lung,11,18.0
Waitemata,2019,Male,Lung,87,18.8
West Coast,2019,Male,Lung,10,26.9
Whanganui,2019,Male,Lung,25,34.6
All New Zealand,2019,Male,Melanoma,217,5.3
Auckland,2019,Male,Melanoma,11,3.3
Bay of Plenty,2019,Male,Melanoma,15,5.8
Canterbury,2019,Male,Melanoma,26,5.0
Capital & Coast,2019,Male,Melanoma,12,5.0
Counties Manukau,2019,Male,Melanoma,13,3.7
Hawke's Bay,2019,Male,Melanoma,7,6.2
Hutt Valley,2019,Male,Melanoma,8,7.0
Lakes,2019,Male,Melanoma,2,0.0
MidCentral,2019,Male,Melanoma,13,8.0
Nelson Marlborough,2019,Male,Melanoma,11,6.3
Northland,2019,Male,Melanoma,11,5.9
South Canterbury,2019,Male,Melanoma,4,0.0
Southern,2019,Male,Melanoma,16,5.7
Taranaki,2019,Male,Melanoma,9,8.0
Waikato,2019,Male,Melanoma,20,5.1
Wairarapa,2019,Male,Melanoma,5,0.0
Waitemata,2019,Male,Melanoma,28,6.0
West Coast,2019,Male,Melanoma,2,0.0
Whanganui,2019,Male,Melanoma,4,0.0
All New Zealand,2019,Male,Non-Hodgkin lymphoma,193,4.7
Auckland,2019,Male,Non-Hodgkin lymphoma,21,6.5
Bay of Plenty,2019,Male,Non-Hodgkin lymphoma,8,2.8
Canterbury,2019,Male,Non-Hodgkin lymphoma,25,5.4
Capital & Coast,2019,Male,Non-Hodgkin lymphoma,11,4.9
Counties Manukau,2019,Male,Non-Hodgkin lymphoma,19,5.4
Hawke's Bay,2019,Male,Non-Hodgkin lymphoma,8,4.4
Hutt Valley,2019,Male,Non-Hodgkin lymphoma,4,0.0
Lakes,2019,Male,Non-Hodgkin lymphoma,3,0.0
MidCentral,2019,Male,Non-Hodgkin lymphoma,9,6.1
Nelson Marlborough,2019,Male,Non-Hodgkin lymphoma,9,4.6
Northland,2019,Male,Non-Hodgkin lymphoma,8,4.2
South Canterbury,2019,Male,Non-Hodgkin lymphoma,3,0.0
Southern,2019,Male,Non-Hodgkin lymphoma,19,6.5
Taranaki,2019,Male,Non-Hodgkin lymphoma,5,0.0
Waikato,2019,Male,Non-Hodgkin lymphoma,15,3.9
Wairarapa,2019,Male,Non-Hodgkin lymphoma,3,0.0
Waitemata,2019,Male,Non-Hodgkin lymphoma,18,4.0
West Coast,2019,Male,Non-Hodgkin lymphoma,3,0.0
Whanganui,2019,Male,Non-Hodgkin lymphoma,2,0.0
All New Zealand,2019,Male,Pancreas,305,7.5
Auckland,2019,Male,Pancreas,19,5.7
Bay of Plenty,2019,Male,Pancreas,14,5.7
Canterbury,2019,Male,Pancreas,38,8.2
Capital & Coast,2019,Male,Pancreas,17,8.1
Counties Manukau,2019,Male,Pancreas,30,8.3
Hawke's Bay,2019,Male,Pancreas,13,7.2
Hutt Valley,2019,Male,Pancreas,8,6.8
Lakes,2019,Male,Pancreas,9,9.2
MidCentral,2019,Male,Pancreas,16,9.8
Nelson Marlborough,2019,Male,Pancreas,17,10.9
Northland,2019,Male,Pancreas,16,8.6
South Canterbury,2019,Male,Pancreas,6,8.5
Southern,2019,Male,Pancreas,25,8.9
Tairawhiti,2019,Male,Pancreas,4,0.0
Taranaki,2019,Male,Pancreas,5,0.0
Waikato,2019,Male,Pancreas,24,6.0
Wairarapa,2019,Male,Pancreas,4,0.0
Waitemata,2019,Male,Pancreas,29,6.1
West Coast,2019,Male,Pancreas,6,14.5
Whanganui,2019,Male,Pancreas,5,0.0
All New Zealand,2019,Male,Prostate,714,15.5
Auckland,2019,Male,Prostate,42,12.4
Bay of Plenty,2019,Male,Prostate,54,16.7
Canterbury,2019,Male,Prostate,86,16.8
Capital & Coast,2019,Male,Prostate,42,16.4
Counties Manukau,2019,Male,Prostate,51,13.8
Hawke's Bay,2019,Male,Prostate,33,17.5
Hutt Valley,2019,Male,Prostate,23,17.1
Lakes,2019,Male,Prostate,20,17.9
MidCentral,2019,Male,Prostate,36,17.4
Nelson Marlborough,2019,Male,Prostate,23,11.2
Northland,2019,Male,Prostate,39,17.7
South Canterbury,2019,Male,Prostate,22,26.8
Southern,2019,Male,Prostate,49,13.8
Tairawhiti,2019,Male,Prostate,12,26.0
Taranaki,2019,Male,Prostate,22,16.9
Waikato,2019,Male,Prostate,57,13.9
Wairarapa,2019,Male,Prostate,12,19.7
Waitemata,2019,Male,Prostate,70,13.5
West Coast,2019,Male,Prostate,4,0.0
Whanganui,2019,Male,Prostate,17,21.7
All New Zealand,2019,Male,Stomach,181,4.8
Auckland,2019,Male,Stomach,9,2.8
Bay of Plenty,2019,Male,Stomach,15,6.7
Canterbury,2019,Male,Stomach,27,6.0
Capital & Coast,2019,Male,Stomach,10,4.8
Counties Manukau,2019,Male,Stomach,21,5.9
Hawke's Bay,2019,Male,Stomach,9,5.7
Hutt Valley,2019,Male,Stomach,7,5.5
Lakes,2019,Male,Stomach,6,7.0
MidCentral,2019,Male,Stomach,6,4.0
Nelson Marlborough,2019,Male,Stomach,5,0.0
Northland,2019,Male,Stomach,9,4.9
South Canterbury,2019,Male,Stomach,1,0.0
Southern,2019,Male,Stomach,13,5.0
Tairawhiti,2019,Male,Stomach,2,0.0
Taranaki,2019,Male,Stomach,9,8.9
Waikato,2019,Male,Stomach,13,3.9
Wairarapa,2019,Male,Stomach,4,0.0
Waitemata,2019,Male,Stomach,10,2.3
Whanganui,2019,Male,Stomach,5,0.0
All New Zealand,2020,Male,Brain,165,4.6
Auckland,2020,Male,Brain,11,3.4
Bay of Plenty,2020,Male,Brain,12,4.8
Canterbury,2020,Male,Brain,20,4.8
Capital & Coast,2020,Male,Brain,12,6.3
Counties Manukau,2020,Male,Brain,13,3.6
Hawke's Bay,2020,Male,Brain,9,7.0
Hutt Valley,2020,Male,Brain,6,6.9
Lakes,2020,Male,Brain,8,10.6
MidCentral,2020,Male,Brain,6,5.0
Nelson Marlborough,2020,Male,Brain,12,8.8
Northland,2020,Male,Brain,6,2.8
South Canterbury,2020,Male,Brain,1,0.0
Southern,2020,Male,Brain,15,5.0
Taranaki,2020,Male,Brain,4,0.0
Waikato,2020,Male,Brain,12,3.5
Waitemata,2020,Male,Brain,14,3.5
West Coast,2020,Male,Brain,1,0.0
Whanganui,2020,Male,Brain,3,0.0
All New Zealand,2020,Male,Colorectal,670,15.9
Auckland,2020,Male,Colorectal,31,9.1
Bay of Plenty,2020,Male,Colorectal,39,15.2
Canterbury,2020,Male,Colorectal,89,19.0
Capital & Coast,2020,Male,Colorectal,34,14.9
Counties Manukau,2020,Male,Colorectal,55,14.6
Hawke's Bay,2020,Male,Colorectal,31,16.8
Hutt Valley,2020,Male,Colorectal,11,8.6
Lakes,2020,Male,Colorectal,18,19.0
MidCentral,2020,Male,Colorectal,35,19.5
Nelson Marlborough,2020,Male,Colorectal,32,18.3
Northland,2020,Male,Colorectal,43,21.9
South Canterbury,2020,Male,Colorectal,16,23.9
Southern,2020,Male,Colorectal,64,19.5
Tairawhiti,2020,Male,Colorectal,3,0.0
Taranaki,2020,Male,Colorectal,23,18.7
Waikato,2020,Male,Colorectal,75,19.4
Wairarapa,2020,Male,Colorectal,12,19.2
Waitemata,2020,Male,Colorectal,44,9.3
West Coast,2020,Male,Colorectal,4,0.0
Whanganui,2020,Male,Colorectal,11,13.0
All New Zealand,2020,Male,Leukaemia,194,4.6
Auckland,2020,Male,Leukaemia,11,3.8
Bay of Plenty,2020,Male,Leukaemia,12,4.3
Canterbury,2020,Male,Leukaemia,29,6.4
Capital & Coast,2020,Male,Leukaemia,7,3.3
Counties Manukau,2020,Male,Leukaemia,16,4.3
Hawke's Bay,2020,Male,Leukaemia,7,3.9
Hutt Valley,2020,Male,Leukaemia,9,8.5
Lakes,2020,Male,Leukaemia,9,9.6
MidCentral,2020,Male,Leukaemia,10,4.9
Nelson Marlborough,2020,Male,Leukaemia,6,2.7
Northland,2020,Male,Leukaemia,8,3.4
South Canterbury,2020,Male,Leukaemia,2,0.0
Southern,2020,Male,Leukaemia,10,3.3
Taranaki,2020,Male,Leukaemia,15,10.9
Waikato,2020,Male,Leukaemia,17,4.4
Wairarapa,2020,Male,Leukaemia,5,0.0
Waitemata,2020,Male,Leukaemia,15,3.0
West Coast,2020,Male,Leukaemia,3,0.0
Whanganui,2020,Male,Leukaemia,3,0.0
All New Zealand,2020,Male,Liver,216,5.3
Auckland,2020,Male,Liver,22,6.5
Bay of Plenty,2020,Male,Liver,13,5.4
Canterbury,2020,Male,Liver,16,3.3
Capital & Coast,2020,Male,Liver,13,5.9
Counties Manukau,2020,Male,Liver,22,5.8
Hawke's Bay,2020,Male,Liver,14,9.5
Hutt Valley,2020,Male,Liver,8,6.3
Lakes,2020,Male,Liver,5,0.0
MidCentral,2020,Male,Liver,3,0.0
Nelson Marlborough,2020,Male,Liver,6,3.6
Northland,2020,Male,Liver,9,5.6
South Canterbury,2020,Male,Liver,6,10.8
Southern,2020,Male,Liver,22,7.2
Tairawhiti,2020,Male,Liver,2,0.0
Taranaki,2020,Male,Liver,4,0.0
Waikato,2020,Male,Liver,20,5.4
Wairarapa,2020,Male,Liver,3,0.0
Waitemata,2020,Male,Liver,24,5.3
West Coast,2020,Male,Liver,1,0.0
Whanganui,2020,Male,Liver,3,0.0
All New Zealand,2020,Male,Lung,922,21.5
Auckland,2020,Male,Lung,59,17.6
Bay of Plenty,2020,Male,Lung,57,22.6
Canterbury,2020,Male,Lung,110,22.0
Capital & Coast,2020,Male,Lung,38,15.3
Counties Manukau,2020,Male,Lung,89,23.4
Hawke's Bay,2020,Male,Lung,47,27.2
Hutt Valley,2020,Male,Lung,23,18.3
Lakes,2020,Male,Lung,24,24.8
MidCentral,2020,Male,Lung,40,22.6
Nelson Marlborough,2020,Male,Lung,34,18.3
Northland,2020,Male,Lung,49,24.3
South Canterbury,2020,Male,Lung,21,27.5
Southern,2020,Male,Lung,61,18.6
Tairawhiti,2020,Male,Lung,15,36.5
Taranaki,2020,Male,Lung,30,26.5
Waikato,2020,Male,Lung,99,26.2
Wairarapa,2020,Male,Lung,14,23.3
Waitemata,2020,Male,Lung,81,16.6
West Coast,2020,Male,Lung,14,37.2
Whanganui,2020,Male,Lung,17,24.5
All New Zealand,2020,Male,Melanoma,198,4.6
Auckland,2020,Male,Melanoma,12,3.4
Bay of Plenty,2020,Male,Melanoma,15,5.8
Canterbury,2020,Male,Melanoma,26,5.3
Capital & Coast,2020,Male,Melanoma,12,5.3
Counties Manukau,2020,Male,Melanoma,7,1.9
Hawke's Bay,2020,Male,Melanoma,10,5.9
Hutt Valley,2020,Male,Melanoma,7,5.4
Lakes,2020,Male,Melanoma,4,0.0
MidCentral,2020,Male,Melanoma,15,8.3
Nelson Marlborough,2020,Male,Melanoma,3,0.0
Northland,2020,Male,Melanoma,6,3.7
South Canterbury,2020,Male,Melanoma,4,0.0
Southern,2020,Male,Melanoma,17,5.1
Tairawhiti,2020,Male,Melanoma,3,0.0
Taranaki,2020,Male,Melanoma,6,5.2
Waikato,2020,Male,Melanoma,23,6.1
Wairarapa,2020,Male,Melanoma,6,12.4
Waitemata,2020,Male,Melanoma,15,2.7
West Coast,2020,Male,Melanoma,2,0.0
Whanganui,2020,Male,Melanoma,5,0.0
All New Zealand,2020,Male,Non-Hodgkin lymphoma,201,4.6
Auckland,2020,Male,Non-Hodgkin lymphoma,23,6.7
Bay of Plenty,2020,Male,Non-Hodgkin lymphoma,14,5.0
Canterbury,2020,Male,Non-Hodgkin lymphoma,23,4.9
Capital & Coast,2020,Male,Non-Hodgkin lymphoma,10,4.2
Counties Manukau,2020,Male,Non-Hodgkin lymphoma,11,3.0
Hawke's Bay,2020,Male,Non-Hodgkin lymphoma,9,6.0
Hutt Valley,2020,Male,Non-Hodgkin lymphoma,13,9.6
Lakes,2020,Male,Non-Hodgkin lymphoma,5,0.0
MidCentral,2020,Male,Non-Hodgkin lymphoma,7,3.3
Nelson Marlborough,2020,Male,Non-Hodgkin lymphoma,9,4.8
Northland,2020,Male,Non-Hodgkin lymphoma,9,4.1
South Canterbury,2020,Male,Non-Hodgkin lymphoma,2,0.0
Southern,2020,Male,Non-Hodgkin lymphoma,18,5.4
Tairawhiti,2020,Male,Non-Hodgkin lymphoma,1,0.0
Taranaki,2020,Male,Non-Hodgkin lymphoma,4,0.0
Waikato,2020,Male,Non-Hodgkin lymphoma,12,2.9
Wairarapa,2020,Male,Non-Hodgkin lymphoma,2,0.0
Waitemata,2020,Male,Non-Hodgkin lymphoma,21,4.4
West Coast,2020,Male,Non-Hodgkin lymphoma,5,0.0
Whanganui,2020,Male,Non-Hodgkin lymphoma,3,0.0
All New Zealand,2020,Male,Pancreas,305,7.1
Auckland,2020,Male,Pancreas,23,6.6
Bay of Plenty,2020,Male,Pancreas,18,6.6
Canterbury,2020,Male,Pancreas,37,7.6
Capital & Coast,2020,Male,Pancreas,19,8.1
Counties Manukau,2020,Male,Pancreas,27,7.1
Hawke's Bay,2020,Male,Pancreas,12,7.0
Hutt Valley,2020,Male,Pancreas,11,9.1
Lakes,2020,Male,Pancreas,4,0.0
MidCentral,2020,Male,Pancreas,12,7.1
Nelson Marlborough,2020,Male,Pancreas,15,8.4
Northland,2020,Male,Pancreas,10,4.2
South Canterbury,2020,Male,Pancreas,3,0.0
Southern,2020,Male,Pancreas,30,9.4
Tairawhiti,2020,Male,Pancreas,1,0.0
Taranaki,2020,Male,Pancreas,6,5.5
Waikato,2020,Male,Pancreas,30,8.3
Wairarapa,2020,Male,Pancreas,3,0.0
Waitemata,2020,Male,Pancreas,34,6.9
West Coast,2020,Male,Pancreas,3,0.0
Whanganui,2020,Male,Pancreas,7,11.2
All New Zealand,2020,Male,Prostate,708,15.0
Auckland,2020,Male,Prostate,56,15.6
Bay of Plenty,2020,Male,Prostate,50,15.2
Canterbury,2020,Male,Prostate,64,11.6
Capital & Coast,2020,Male,Prostate,40,15.7
Counties Manukau,2020,Male,Prostate,55,14.2
Hawke's Bay,2020,Male,Prostate,39,19.9
Hutt Valley,2020,Male,Prostate,18,12.8
Lakes,2020,Male,Prostate,9,8.3
MidCentral,2020,Male,Prostate,37,17.8
Nelson Marlborough,2020,Male,Prostate,25,12.7
Northland,2020,Male,Prostate,31,13.3
South Canterbury,2020,Male,Prostate,12,14.3
Southern,2020,Male,Prostate,64,18.1
Tairawhiti,2020,Male,Prostate,11,24.2
Taranaki,2020,Male,Prostate,24,17.5
Waikato,2020,Male,Prostate,60,13.8
Wairarapa,2020,Male,Prostate,9,13.0
Waitemata,2020,Male,Prostate,80,15.1
West Coast,2020,Male,Prostate,8,18.0
Whanganui,2020,Male,Prostate,16,20.1
All New Zealand,2020,Male,Stomach,184,4.6
Auckland,2020,Male,Stomach,10,3.4
Bay of Plenty,2020,Male,Stomach,12,4.8
Canterbury,2020,Male,Stomach,22,4.5
Capital & Coast,2020,Male,Stomach,15,6.6
Counties Manukau,2020,Male,Stomach,29,8.0
Hawke's Bay,2020,Male,Stomach,9,5.6
Hutt Valley,2020,Male,Stomach,4,0.0
Lakes,2020,Male,Stomach,5,0.0
MidCentral,2020,Male,Stomach,6,3.0
Nelson Marlborough,2020,Male,Stomach,4,0.0
Northland,2020,Male,Stomach,9,4.7
South Canterbury,2020,Male,Stomach,1,0.0
Southern,2020,Male,Stomach,13,4.4
Tairawhiti,2020,Male,Stomach,7,18.1
Taranaki,2020,Male,Stomach,6,5.8
Waikato,2020,Male,Stomach,10,2.3
Wairarapa,2020,Male,Stomach,2,0.0
Waitemata,2020,Male,Stomach,18,3.6
Whanganui,2020,Male,Stomach,2,0.0
Tairawhiti,2011,Male,Leukaemia,0,0.0
Tairawhiti,2011,Male,Liver,0,0.0
Tairawhiti,2011,Male,Pancreas,0,0.0
Wairarapa,2011,Male,Pancreas,0,0.0
West Coast,2011,Male,Brain,0,0.0
West Coast,2011,Male,Leukaemia,0,0.0
West Coast,2011,Male,Non-Hodgkin lymphoma,0,0.0
Tairawhiti,2012,Male,Melanoma,0,0.0
Tairawhiti,2012,Male,Non-Hodgkin lymphoma,0,0.0
West Coast,2012,Male,Leukaemia,0,0.0
West Coast,2012,Male,Melanoma,0,0.0
West Coast,2012,Male,Non-Hodgkin lymphoma,0,0.0
West Coast,2012,Male,Stomach,0,0.0
Whanganui,2012,Male,Liver,0,0.0
Tairawhiti,2013,Male,Liver,0,0.0
Tairawhiti,2014,Male,Leukaemia,0,0.0
Tairawhiti,2015,Male,Brain,0,0.0
Wairarapa,2015,Male,Leukaemia,0,0.0
Wairarapa,2015,Male,Stomach,0,0.0
West Coast,2015,Male,Brain,0,0.0
West Coast,2015,Male,Non-Hodgkin lymphoma,0,0.0
Wairarapa,2016,Male,Brain,0,0.0
Wairarapa,2016,Male,Leukaemia,0,0.0
West Coast,2016,Male,Pancreas,0,0.0
Whanganui,2016,Male,Liver,0,0.0
Wairarapa,2017,Male,Melanoma,0,0.0
West Coast,2017,Male,Stomach,0,0.0
Whanganui,2017,Male,Liver,0,0.0
South Canterbury,2018,Male,Liver,0,0.0
South Canterbury,2018,Male,Melanoma,0,0.0
Tairawhiti,2018,Male,Leukaemia,0,0.0
West Coast,2018,Male,Liver,0,0.0
Tairawhiti,2019,Male,Liver,0,0.0
Tairawhiti,2019,Male,Melanoma,0,0.0
Tairawhiti,2019,Male,Non-Hodgkin lymphoma,0,0.0
Taranaki,2019,Male,Liver,0,0.0
West Coast,2019,Male,Brain,0,0.0
West Coast,2019,Male,Stomach,0,0.0
Tairawhiti,2020,Male,Brain,0,0.0
Tairawhiti,2020,Male,Leukaemia,0,0.0
Wairarapa,2020,Male,Brain,0,0.0
West Coast,2020,Male,Stomach,0,0.0
All New Zealand,2011,Female,Brain,112,3.7
Auckland,2011,Female,Brain,6,1.9
Bay of Plenty,2011,Female,Brain,6,4.0
Canterbury,2011,Female,Brain,16,4.3
Capital & Coast,2011,Female,Brain,8,3.9
Counties Manukau,2011,Female,Brain,8,2.9
Hawke's Bay,2011,Female,Brain,6,5.5
Hutt Valley,2011,Female,Brain,6,5.7
